JobID,Title,PostDate,PositionsOpen,DepartmentID,JobType,Status,Level,HiringBudget,Location,RequiredExperience,PositionsHired
28,"Engineer, petroleum",2023-06-27,4,2,Intern,Open,Mid,8858012,Traceyfort,1,4
29,Estate manager/land agent,2022-10-26,4,4,Full-Time,Suspended,Mid,49335572,West Kelly,1,2
30,Chief Financial Officer,2022-06-18,6,6,Part-Time,Completed,Entry,85332474,New Johnathan,8,6
31,Biomedical engineer,2023-04-27,1,9,Intern,Suspended,Mid,2167070,New Joseph,7,1
32,Landscape architect,2022-06-11,5,4,Part-Time,Suspended,Mid,67921075,Stephaniestad,2,5
33,Recycling officer,2023-11-13,1,3,Full-Time,Open,Entry,14462807,Carrollchester,0,1
34,Stage manager,2022-03-19,2,10,Part-Time,Cancelled,Entry,20045840,Port Brendan,3,2
35,Clothing/textile technologist,2022-02-11,2,6,Full-Time,Suspended,Senior,24405116,Johnsonbury,5,2
36,Water engineer,2022-02-04,5,8,Full-Time,Completed,Entry,50043100,Port Robert,4,5
37,Corporate investment banker,2022-10-11,6,8,Intern,Completed,Entry,12412758,South Barbara,7,3
38,Planning and development surveyor,2023-12-01,1,1,Part-Time,Completed,Entry,13136665,Lawrencebury,5,1
39,Fish farm manager,2022-12-25,2,10,Part-Time,Completed,Mid,23871636,Coryfurt,3,1
40,Community education officer,2022-07-04,6,10,Intern,Completed,Mid,12789930,East April,2,1
41,Diplomatic Services operational officer,2023-03-06,2,5,Part-Time,Suspended,Mid,23714792,Sarahchester,7,2
42,"Psychologist, counselling",2023-01-15,2,5,Intern,Completed,Senior,4752410,Amandaside,5,2
43,Training and development officer,2022-02-28,7,3,Part-Time,Open,Mid,82397952,Scottfurt,5,7
44,"Research officer, trade union",2023-12-10,4,10,Intern,Completed,Entry,8797412,New Martha,7,2
45,"Geneticist, molecular",2022-04-09,3,5,Full-Time,Completed,Senior,39050181,New Peter,8,3
46,Veterinary surgeon,2023-01-19,6,8,Part-Time,Completed,Senior,65341896,Port Aaronburgh,4,6
47,Occupational therapist,2023-08-23,7,5,Intern,Open,Entry,18167576,Richardfort,6,1
48,Exercise physiologist,2023-07-03,6,8,Full-Time,Cancelled,Entry,72756816,Richardhaven,9,1
49,Insurance risk surveyor,2023-07-24,6,4,Part-Time,Cancelled,Mid,77118912,South Isaacview,8,1
50,Commercial horticulturist,2022-10-02,2,8,Part-Time,Suspended,Senior,25224840,North Ashleyburgh,5,1
51,Risk analyst,2023-03-05,3,2,Part-Time,Completed,Senior,36743625,East Amber,6,3
52,Theatre director,2022-02-15,5,7,Part-Time,Completed,Senior,69338730,Barkershire,4,5
53,Dance movement psychotherapist,2022-08-09,7,2,Full-Time,Open,Entry,88006030,East Jonathanmouth,6,1
54,Warden/ranger,2022-11-04,6,1,Intern,Cancelled,Senior,16136280,Port Harryport,2,3
55,Theatre manager,2022-01-04,6,8,Intern,Open,Senior,13943406,North Brandonburgh,1,6
56,International aid/development worker,2022-05-01,6,8,Part-Time,Cancelled,Mid,81644970,Taylorberg,9,6
57,Systems analyst,2023-10-03,5,8,Intern,Suspended,Mid,14369035,Nicholasfurt,2,2
58,Quality manager,2022-06-04,2,2,Full-Time,Open,Senior,25252546,North Williamburgh,2,2
59,"Surveyor, rural practice",2022-10-10,2,5,Full-Time,Open,Mid,25921282,East Kimberlyhaven,4,1
60,Police officer,2022-12-28,7,1,Part-Time,Cancelled,Senior,88698176,Corymouth,7,3
61,"Designer, jewellery",2022-09-28,4,10,Intern,Suspended,Mid,8501256,Wilsonchester,5,1
62,Farm manager,2022-08-24,2,9,Part-Time,Suspended,Mid,26484868,East Kristaview,3,1
63,Energy engineer,2022-03-06,7,8,Part-Time,Completed,Senior,102643457,North Cindy,1,7
64,"Lighting technician, broadcasting/film/video",2023-08-06,1,6,Intern,Cancelled,Mid,2224322,New Samantha,0,1
65,Ceramics designer,2023-12-18,1,9,Part-Time,Suspended,Senior,14113218,Coxbury,6,1
66,Agricultural engineer,2022-10-18,2,9,Intern,Suspended,Mid,5194760,West James,9,1
67,Immunologist,2023-06-12,1,2,Full-Time,Completed,Senior,14071975,North Melissa,0,1
68,Race relations officer,2023-01-21,5,10,Full-Time,Open,Mid,73477700,South Monica,6,5
69,"Therapist, art",2023-03-16,4,5,Part-Time,Completed,Senior,43891100,Russellshire,6,4
70,Broadcast presenter,2022-12-15,6,8,Part-Time,Completed,Mid,84989238,South Elizabethview,10,3
71,"Psychologist, educational",2023-09-30,1,5,Intern,Cancelled,Mid,2898594,New Williamton,1,1
72,IT consultant,2023-11-04,6,10,Intern,Suspended,Entry,15507228,West Mialand,5,3
73,Market researcher,2022-03-18,2,9,Full-Time,Cancelled,Mid,29768740,Chadview,3,2
74,"Loss adjuster, chartered",2023-11-20,1,6,Full-Time,Suspended,Senior,10410061,Nicholasfort,7,1
75,Chartered public finance accountant,2022-01-05,4,6,Part-Time,Cancelled,Entry,50203760,Normanport,5,4
76,Customer service manager,2022-10-04,7,2,Intern,Completed,Entry,18930821,Port Christopherville,1,3
77,"Embryologist, clinical",2023-07-29,7,8,Full-Time,Suspended,Senior,86270590,New Kayla,3,1
78,Advertising account executive,2023-06-28,7,5,Intern,Cancelled,Senior,16167480,Jonesfort,5,7
79,Publishing copy,2023-01-02,3,7,Intern,Completed,Senior,6038703,North Xavier,10,3
80,"Doctor, hospital",2023-09-08,7,10,Full-Time,Suspended,Senior,82998321,Michaelland,0,1
81,Social worker,2023-10-27,4,5,Part-Time,Cancelled,Senior,54082936,Haynesburgh,6,2
82,Drilling engineer,2022-03-15,2,10,Full-Time,Completed,Senior,26572642,Lake Benjaminhaven,0,2
83,Water quality scientist,2023-06-07,2,10,Part-Time,Completed,Mid,29545990,Kellyville,4,2
84,Restaurant manager,2023-05-21,4,8,Full-Time,Completed,Entry,59574496,Colliermouth,9,4
85,Charity officer,2022-10-17,2,4,Intern,Completed,Senior,4425802,Lake Timothy,2,1
86,Animal nutritionist,2023-09-30,7,9,Part-Time,Cancelled,Senior,98565488,Lake Oliviafurt,6,1
87,Community arts worker,2023-03-26,4,9,Part-Time,Cancelled,Senior,54883684,West Matthew,9,4
88,"Scientist, product/process development",2022-06-18,4,1,Part-Time,Suspended,Entry,50428784,Port Michaelhaven,3,4
89,Hotel manager,2023-10-18,6,9,Part-Time,Open,Senior,75536958,Hudsonstad,2,3
90,Insurance claims handler,2022-12-25,2,2,Intern,Suspended,Mid,5742950,Donnafurt,9,1
91,"Sound technician, broadcasting/film/video",2023-05-21,5,5,Intern,Suspended,Senior,13455365,Clayshire,10,5
92,Clinical molecular geneticist,2023-05-22,7,3,Intern,Suspended,Mid,16388631,New Rachel,8,7
93,Hydrogeologist,2022-12-31,3,3,Part-Time,Open,Senior,44694597,Thomasport,6,1
94,Television camera operator,2022-03-25,4,9,Full-Time,Open,Senior,55251384,New Lisa,3,4
95,Furniture conservator/restorer,2023-09-16,6,1,Full-Time,Suspended,Mid,87690162,Dakotaburgh,2,1
96,"Surveyor, commercial/residential",2022-01-03,4,6,Part-Time,Cancelled,Entry,40628736,Jessicaton,6,4
97,"Accountant, chartered management",2022-03-14,4,6,Part-Time,Completed,Entry,40197164,New Larrychester,0,4
98,Community education officer,2023-03-08,6,1,Full-Time,Cancelled,Entry,60716310,Castroside,2,6
99,Exhibition designer,2023-09-10,1,6,Full-Time,Suspended,Senior,12037522,Lake Shelly,1,1
100,"Designer, ceramics/pottery",2022-02-27,3,6,Part-Time,Open,Mid,39659103,Lake Brittanyburgh,1,3
